Round,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1,0.48769519329480504,0.485704345030753,0.4858941054682178,0.4881871974912209,0.4877426900734404,0.4881891578416247,0.48739440625888053,0.48846481476920167,0.48862787649491646,0.48807534154797455
2,0.4993285624760711,0.49932770052985737,0.4993215778251574,0.49933795491045546,0.49932894886671914,0.49933070249332967,0.4993384304861518,0.49933527981404263,0.49931732768640097,0.49934164064579695
3,0.48951956681708714,0.4896570652661824,0.48954504906125396,0.4881785039530689,0.4895113684976749,0.48945244580121317,0.49054095880941684,0.489720239859124,0.4899568748881133,0.48828679752596005
4,0.5004272830981243,0.5004229544099291,0.5004157599972845,0.500433597146566,0.500427581631105,0.5004248351411172,0.5004301042490136,0.5004292982026566,0.5003990136387622,0.5004306863952196
5,0.5009656535836499,0.5009614352448423,0.5009549882047027,0.5009713080641248,0.5009656087073313,0.5009629311015384,0.5009672242598668,0.5009680769167948,0.5009334494131209,0.5009675982318463
6,0.5015271315002334,0.5015212545779629,0.5015179113902766,0.5015331434943571,0.5015270715309433,0.5015236233208801,0.5015283758662403,0.5015290505250906,0.5014914822871496,0.5015268316539261
7,0.5021039641999724,0.5020973825342331,0.5020949482632189,0.50211026052115,0.5021041745756957,0.5021005230792381,0.5021057674261783,0.5021052264569565,0.5020653181651729,0.5021019656393935
8,0.5026927438703331,0.5026874872546977,0.5026843393627212,0.5026987085301002,0.5026926083115288,0.5026887373854152,0.5026928794292105,0.5026936927840099,0.5026505584871052,0.5026887825709793
9,0.5032895942698741,0.5032848988725958,0.5032813056695468,0.5032975509791077,0.5032895187804789,0.503285215922387,0.5032897905424075,0.5032911946503807,0.5032469614647432,0.5032843553595974
10,0.5038941291127911,0.5038878939105735,0.5038851698415349,0.5038994412635979,0.5038931453934512,0.5038891197512501,0.5038937961611999,0.5038940231736007,0.5038491543644856,0.5038893316255518
11,0.504503227988229,0.504497190088768,0.5044958247546543,0.5045086895293136,0.5045028487189335,0.5044979334404481,0.504503743795386,0.5045024391087348,0.5044567034868914,0.5044956578809916
12,0.5051171164455339,0.505109010857732,0.5051089804432582,0.5051206750784519,0.5051165385526131,0.5051113375758286,0.5051158846227447,0.5051155044317391,0.5050705850913163,0.5051093758317021
13,0.5057334611280849,0.50572725654559,0.5057264943223685,0.5057374400682322,0.5057335678421376,0.5057283084174088,0.5057337965152595,0.5057323025212678,0.505686435103621,0.5057269821449656
14,0.5063539861651276,0.5063495237743991,0.5063460547784108,0.5063599768955297,0.5063539250359562,0.5063483623431365,0.5063545821753228,0.5063525496335005,0.5063059279099292,0.5063449086448083
15,0.5069764647735518,0.5069652202222883,0.5069683913190796,0.506981750191366,0.5069773686487866,0.5069711641463682,0.506978180607254,0.5069745344745196,0.506926940401273,0.5069685751519942
16,0.5076014432674723,0.50758994062088,0.5075919677517302,0.5076026565276129,0.5076008596760527,0.5075951159794676,0.5076027486741896,0.5076008596760527,0.507550307323094,0.5075909081131298
17,0.5082268098868153,0.5082129850577854,0.5082173264041538,0.5082294117483122,0.5082263634162186,0.5082210212254442,0.5082274411052043,0.508226640535807,0.5081750860989325,0.508217588118894
18,0.5088532408745017,0.508841820320643,0.5088444439160373,0.5088560189245779,0.5088534106433584,0.5088470212390321,0.5088563275986809,0.5088512190904616,0.508802130166389,0.5088434870722298
19,0.5094818059456554,0.5094651280210138,0.5094724302803532,0.5094831984006254,0.5094803361403333,0.5094755399924799,0.5094849003003696,0.5094788818149932,0.5094300739023915,0.5094738381552699
20,0.5101107625721741,0.5100983549517045,0.5101021857401139,0.5101131045782555,0.5101107625721741,0.5101033644558155,0.5101130425380821,0.510107970804942,0.5100605154369224,0.5101009294833234
21,0.5107430154272725,0.5107259438833357,0.5107293643198411,0.5107416471740326,0.5107420047849672,0.5107347282784367,0.5107410563396725,0.5107378378712422,0.5106881200198123,0.5107319141295877
22,0.5113744994716393,0.5113536451224571,0.5113624355376011,0.5113703378176798,0.511370462510447,0.511367033481506,0.5113731434196509,0.5113686388847851,0.5113180501481438,0.5113632771889469
23,0.5120017500059815,0.5119780009452719,0.5119909689093008,0.5119978281342129,0.5120036562761099,0.5119965156487125,0.5120051719272433,0.5119981093819813,0.5119495518462246,0.5119921876192075
24,0.5126325931254767,0.5126124034960834,0.512620892657736,0.5126288338808189,0.5126319979080655,0.5126254036181777,0.5126343317947779,0.5126259048409052,0.5125792796595566,0.5126226312476702
25,0.5132621034927684,0.5132369028153145,0.5132515047754842,0.5132561681571615,0.5132630770265278,0.5132557442098709,0.5132630456221554,0.5132602977544439,0.5132107940694556,0.5132521328354186
26,0.5138907377663141,0.5138695202939552,0.5138820648340698,0.5138872276332446,0.5138926423877344,0.513887148931259,0.5138932405362174,0.5138891479691624,0.5138389878375139,0.5138854489742547
27,0.5145211189385342,0.5144930176189434,0.514511430657942,0.5145161958578499,0.5145251742392213,0.514518988747829,0.5145254582704586,0.5145184206999531,0.5144678694619521,0.5145142077173561
28,0.51515336492728,0.5151247041993499,0.5151428303155426,0.5151517514903344,0.5151511187727223,0.5151476704890539,0.5151551049196265,0.5151528587498955,0.5151020088105657,0.5151452503909291
29,0.5157865006480835,0.5157575157463565,0.5157719126535817,0.5157822193032753,0.5157847881016311,0.5157803957891071,0.5157867543596363,0.5157822510166793,0.5157303731030815,0.5157739739505678
30,0.5164153607906073,0.516381394011752,0.5164017703638879,0.5164094317796434,0.5164148362345499,0.5164096066278844,0.5164176815665578,0.5164110689996273,0.516360224653355,0.5164079694171729
